"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"20920","{""Q0"":""they are hot and they are sexy""}","3","30988","atypical","prime","","","","","","",""
"3500","f","6","52990","","iat","Statistics","science","science","science","liberal arts","true",""
"1305","f","8","54550","","iat","Geology","science","science","science","liberal arts","true",""
"1938","j","10","56743","","iat","Literature","liberal arts","liberal arts","science","liberal arts","true",""
"907","f","12","57906","","iat","Engineering","science","science","science","liberal arts","true",""
"889","j","14","59050","","iat","Philosophy","liberal arts","liberal arts","science","liberal arts","true",""
"1101","j","16","60406","","iat","Dance","liberal arts","liberal arts","science","liberal arts","true",""
"664","f","18","61324","","iat","Physics","science","science","science","liberal arts","true",""
"764","f","20","62343","","iat","Geology","science","science","science","liberal arts","true",""
"513","f","22","63110","","iat","Astronomy","science","science","science","liberal arts","true",""
"466","f","24","63829","","iat","Math","science","science","science","liberal arts","true",""
"476","f","26","64560","","iat","Ecology","science","science","science","liberal arts","true",""
"469","f","28","65283","","iat","Chemistry","science","science","science","liberal arts","true",""
"411","f","30","65947","","iat","Physics","science","science","science","liberal arts","true",""
"438","f","32","66641","","iat","Engineering","science","science","science","liberal arts","true",""
"752","j","34","67649","","iat","English","liberal arts","liberal arts","science","liberal arts","true",""
"670","f","36","68574","","iat","Math","science","science","science","liberal arts","true",""
"555","j","38","69383","","iat","Humanities","liberal arts","liberal arts","science","liberal arts","true",""
"2751","j","40","72388","","iat","Anthropology","liberal arts","liberal arts","science","liberal arts","true",""
"542","f","42","73183","","iat","Statistics","science","science","science","liberal arts","true",""
"3656","j","44","77093","","iat","Literature","liberal arts","liberal arts","science","liberal arts","true",""
"1696","j","46","79045","","iat","Anthropology","liberal arts","liberal arts","science","liberal arts","true",""
"3467","j","48","82767","","iat","Arts","liberal arts","liberal arts","science","liberal arts","true",""
"1869","j","50","84890","","iat","History","liberal arts","liberal arts","science","liberal arts","true",""
"1886","f","52","87031","","iat","Biology","science","science","science","liberal arts","true",""
"874","f","54","88158","","iat","Robotics","science","science","science","liberal arts","true",""
"512","f","56","88924","","iat","Ecology","science","science","science","liberal arts","true",""
"453","f","58","89630","","iat","Arts","liberal arts","liberal arts","science","liberal arts","false",""
"1963","j","60","91848","","iat","Music","liberal arts","liberal arts","science","liberal arts","true",""
"867","f","62","92968","","iat","Sociology","liberal arts","liberal arts","science","liberal arts","false",""
"621","j","64","93842","","iat","Humanities","liberal arts","liberal arts","science","liberal arts","true",""
"3111","j","66","97208","","iat","Dance","liberal arts","liberal arts","science","liberal arts","true",""
"793","j","68","98255","","iat","Sociology","liberal arts","liberal arts","science","liberal arts","true",""
"683","f","70","99191","","iat","Chemistry","science","science","science","liberal arts","true",""
"608","j","72","100053","","iat","Music","liberal arts","liberal arts","science","liberal arts","true",""
"731","j","74","101038","","iat","Philosophy","liberal arts","liberal arts","science","liberal arts","true",""
"685","f","76","101977","","iat","Astronomy","science","science","science","liberal arts","true",""
"1772","j","79","107292","","iat","Aunt","women","women","men","women","true",""
"627","f","81","108172","","iat","Father","men","men","men","women","true",""
"546","j","83","108972","","iat","Grandma","women","women","men","women","true",""
"950","j","85","110176","","iat","Lady","women","women","men","women","true",""
"1223","j","87","111651","","iat","Woman","women","women","men","women","true",""
"768","j","89","112672","","iat","Girl","women","women","men","women","true",""
"546","j","91","113471","","iat","Woman","women","women","men","women","true",""
"484","j","93","114208","","iat","Lady","women","women","men","women","true",""
"597","f","95","115059","","iat","Grandpa","men","men","men","women","true",""
"579","f","97","115892","","iat","Father","men","men","men","women","true",""
"540","j","99","116686","","iat","Girl","women","women","men","women","true",""
"1654","f","101","118594","","iat","Man","men","men","men","women","true",""
"595","j","103","119443","","iat","Daughter","women","women","men","women","true",""
"945","j","105","120642","","iat","Uncle","men","men","men","women","false",""
"755","j","107","121649","","iat","Female","women","women","men","women","true",""
"558","j","109","122460","","iat","Mother","women","women","men","women","true",""
"497","f","111","123210","","iat","Gentleman","men","men","men","women","true",""
"938","f","113","124403","","iat","Uncle","men","men","men","women","true",""
"548","f","115","125204","","iat","Man","men","men","men","women","true",""
"637","f","117","126095","","iat","Gentleman","men","men","men","women","true",""
"621","j","119","126969","","iat","Aunt","women","women","men","women","true",""
"540","f","121","127763","","iat","Male","men","men","men","women","true",""
"607","f","123","128623","","iat","Son","men","men","men","women","true",""
"583","f","125","129460","","iat","Husband","men","men","men","women","true",""
"509","f","127","130223","","iat","Son","men","men","men","women","true",""
"460","f","129","130937","","iat","Male","men","men","men","women","true",""
"639","j","131","131830","","iat","Wife","women","women","men","women","true",""
"405","f","133","132488","","iat","Boy","men","men","men","women","true",""
"473","j","135","133214","","iat","Sister","women","women","men","women","true",""
"578","j","137","134047","","iat","Daughter","women","women","men","women","true",""
"445","f","139","134746","","iat","Grandma","women","women","men","women","false",""
"509","f","141","135507","","iat","Boy","men","men","men","women","true",""
"446","f","143","136207","","iat","Brother","men","men","men","women","true",""
"533","j","145","136994","","iat","Sister","women","women","men","women","true",""
"507","f","147","137754","","iat","Husband","men","men","men","women","true",""
"566","j","149","138573","","iat","Female","women","women","men","women","true",""
"2701","f","152","143465","","iat","Physics","science","science or women","science or women","liberal arts or men","true",""
"1232","j","154","144951","","iat","Grandpa","men","liberal arts or men","science or women","liberal arts or men","true",""
"1165","f","156","146369","","iat","Chemistry","science","science or women","science or women","liberal arts or men","true",""
"549","j","158","147172","","iat","Dance","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1072","j","160","148497","","iat","Anthropology","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"2665","j","162","151415","","iat","Arts","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"790","j","164","152459","","iat","Husband","men","liberal arts or men","science or women","liberal arts or men","true",""
"548","j","166","153262","","iat","Gentleman","men","liberal arts or men","science or women","liberal arts or men","true",""
"629","f","168","154145","","iat","Aunt","women","science or women","science or women","liberal arts or men","true",""
"584","f","170","154982","","iat","Mother","women","science or women","science or women","liberal arts or men","true",""
"721","f","172","155957","","iat","Biology","science","science or women","science or women","liberal arts or men","true",""
"675","f","174","156885","","iat","Geology","science","science or women","science or women","liberal arts or men","true",""
"510","f","176","157648","","iat","Ecology","science","science or women","science or women","liberal arts or men","true",""
"612","f","178","158514","","iat","Woman","women","science or women","science or women","liberal arts or men","true",""
"768","f","180","159535","","iat","Robotics","science","science or women","science or women","liberal arts or men","true",""
"629","f","182","160417","","iat","Daughter","women","science or women","science or women","liberal arts or men","true",""
"565","f","184","161235","","iat","Father","men","liberal arts or men","science or women","liberal arts or men","false",""
"2099","f","186","163586","","iat","Statistics","science","science or women","science or women","liberal arts or men","true",""
"857","j","188","164697","","iat","Son","men","liberal arts or men","science or women","liberal arts or men","true",""
"3769","j","190","168719","","iat","Sociology","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1532","j","192","170503","","iat","Boy","men","liberal arts or men","science or women","liberal arts or men","true",""
"560","j","194","171317","","iat","Math","science","science or women","science or women","liberal arts or men","false",""
"761","f","196","172330","","iat","Wife","women","science or women","science or women","liberal arts or men","true",""
"552","f","198","173136","","iat","Grandma","women","science or women","science or women","liberal arts or men","true",""
"591","j","200","173979","","iat","Literature","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"784","f","202","175017","","iat","Female","women","science or women","science or women","liberal arts or men","true",""
"675","j","204","175946","","iat","Male","men","liberal arts or men","science or women","liberal arts or men","true",""
"1044","j","206","177244","","iat","Humanities","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"515","j","208","178013","","iat","Man","men","liberal arts or men","science or women","liberal arts or men","true",""
"1331","j","210","179596","","iat","Uncle","men","liberal arts or men","science or women","liberal arts or men","true",""
"926","j","212","180775","","iat","Music","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"753","f","214","181783","","iat","Engineering","science","science or women","science or women","liberal arts or men","true",""
"4314","j","216","186351","","iat","Brother","men","liberal arts or men","science or women","liberal arts or men","true",""
"1330","f","218","187935","","iat","Lady","women","science or women","science or women","liberal arts or men","true",""
"2489","j","220","190678","","iat","English","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1106","f","222","192038","","iat","Astronomy","science","science or women","science or women","liberal arts or men","true",""
"1819","j","225","196035","","iat","Aunt","women","liberal arts or women","science or men","liberal arts or women","true",""
"423","j","227","196712","","iat","Lady","women","liberal arts or women","science or men","liberal arts or women","true",""
"395","j","229","197361","","iat","Sister","women","liberal arts or women","science or men","liberal arts or women","true",""
"616","f","231","198231","","iat","Ecology","science","science or men","science or men","liberal arts or women","true",""
"3250","j","233","201734","","iat","Philosophy","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1040","f","235","203028","","iat","Man","men","science or men","science or men","liberal arts or women","true",""
"1332","f","237","204615","","iat","Statistics","science","science or men","science or men","liberal arts or women","true",""
"759","j","239","205628","","iat","English","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"815","f","241","206696","","iat","Gentleman","men","science or men","science or men","liberal arts or women","true",""
"853","j","243","207803","","iat","Math","science","science or men","science or men","liberal arts or women","false",""
"1873","j","245","209930","","iat","Literature","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1006","j","247","211189","","iat","Anthropology","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"486","j","249","211929","","iat","Girl","women","liberal arts or women","science or men","liberal arts or women","true",""
"458","j","251","212640","","iat","Female","women","liberal arts or women","science or men","liberal arts or women","true",""
"832","j","253","213725","","iat","Humanities","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"534","j","255","214513","","iat","Brother","men","science or men","science or men","liberal arts or women","false",""
"1902","j","257","216669","","iat","Sociology","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1103","f","259","218026","","iat","Son","men","science or men","science or men","liberal arts or women","true",""
"1011","f","261","219291","","iat","Chemistry","science","science or men","science or men","liberal arts or women","true",""
"695","f","263","220240","","iat","Grandpa","men","science or men","science or men","liberal arts or women","true",""
"640","f","265","221132","","iat","Astronomy","science","science or men","science or men","liberal arts or women","true",""
"767","j","267","222152","","iat","History","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"742","j","269","223147","","iat","Music","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"768","f","271","224169","","iat","Physics","science","science or men","science or men","liberal arts or women","true",""
"623","j","273","225045","","iat","Arts","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"580","j","275","225877","","iat","Daughter","women","liberal arts or women","science or men","liberal arts or women","true",""
"1461","f","277","227592","","iat","Robotics","science","science or men","science or men","liberal arts or women","true",""
"662","f","279","228508","","iat","Boy","men","science or men","science or men","liberal arts or women","true",""
"574","f","281","229336","","iat","Husband","men","science or men","science or men","liberal arts or women","true",""
"433","j","283","230023","","iat","Woman","women","liberal arts or women","science or men","liberal arts or women","true",""
"595","f","285","230872","","iat","Uncle","men","science or men","science or men","liberal arts or women","true",""
"520","f","287","231645","","iat","Father","men","science or men","science or men","liberal arts or women","true",""
"421","j","289","232319","","iat","Mother","women","liberal arts or women","science or men","liberal arts or women","true",""
"879","f","291","233452","","iat","Engineering","science","science or men","science or men","liberal arts or women","true",""
"471","f","293","234177","","iat","Male","men","science or men","science or men","liberal arts or women","true",""
"498","f","295","234929","","iat","Wife","women","liberal arts or women","science or men","liberal arts or women","false",""
"61569","{""Q0"":1,""Q1"":5,""Q2"":0,""Q3"":4,""Q4"":0,""Q5"":6,""Q6"":3,""Q7"":5,""Q8"":1,""Q9"":6}","297","296754","","questionnaire","","","","","","","[0,1,2,3,4,5,6,7,8,9]"
