"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"40684","{""Q0"":""The men on the left are in professional academic settings; the women on the right are in artistic settings.""}","3","58289","stereotypical","prime","","","","","","",""
"2220","j","6","66954","","iat","Statistics","science","science","liberal arts","science","true",""
"568","f","8","67778","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
"559","f","10","68592","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"504","f","12","69351","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"620","f","14","70226","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"571","j","16","71052","","iat","Physics","science","science","liberal arts","science","true",""
"630","j","18","71937","","iat","Robotics","science","science","liberal arts","science","true",""
"767","f","20","72959","","iat","Music","liberal arts","liberal arts","liberal arts","science","true",""
"550","f","22","73764","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"643","j","24","74662","","iat","Geology","science","science","liberal arts","science","true",""
"636","f","26","75553","","iat","Dance","liberal arts","liberal arts","liberal arts","science","true",""
"589","f","28","76396","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"611","f","30","77262","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"652","j","32","78169","","iat","Biology","science","science","liberal arts","science","true",""
"574","f","34","78997","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"548","f","36","79800","","iat","Literature","liberal arts","liberal arts","liberal arts","science","true",""
"567","j","38","80622","","iat","Robotics","science","science","liberal arts","science","true",""
"653","j","40","81529","","iat","Chemistry","science","science","liberal arts","science","true",""
"708","j","42","82489","","iat","Geology","science","science","liberal arts","science","true",""
"956","f","44","83700","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"899","j","46","84853","","iat","Astronomy","science","science","liberal arts","science","true",""
"500","j","48","85607","","iat","Biology","science","science","liberal arts","science","true",""
"556","f","50","86418","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"593","j","52","87266","","iat","Math","science","science","liberal arts","science","true",""
"907","j","54","88428","","iat","Astronomy","science","science","liberal arts","science","true",""
"496","j","56","89178","","iat","Physics","science","science","liberal arts","science","true",""
"731","j","58","90163","","iat","Engineering","science","science","liberal arts","science","true",""
"1489","j","60","91907","","iat","Music","liberal arts","liberal arts","liberal arts","science","false",""
"1504","j","62","93666","","iat","Ecology","science","science","liberal arts","science","true",""
"558","f","64","94479","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"410","f","66","95143","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
"437","f","68","95835","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"606","j","70","96694","","iat","History","liberal arts","liberal arts","liberal arts","science","false",""
"1028","j","72","97975","","iat","Chemistry","science","science","liberal arts","science","true",""
"491","j","74","98719","","iat","Engineering","science","science","liberal arts","science","true",""
"517","j","76","99491","","iat","Math","science","science","liberal arts","science","true",""
"1866","f","79","103450","","iat","Grandpa","men","men","men","women","true",""
"553","f","81","104257","","iat","Son","men","men","men","women","true",""
"414","f","83","104926","","iat","Male","men","men","men","women","true",""
"625","j","85","105805","","iat","Sister","women","women","men","women","true",""
"458","j","87","106518","","iat","Lady","women","women","men","women","true",""
"641","f","89","107413","","iat","Male","men","men","men","women","true",""
"1161","f","91","108829","","iat","Grandpa","men","men","men","women","true",""
"457","f","93","109541","","iat","Son","men","men","men","women","true",""
"552","j","95","110346","","iat","Woman","women","women","men","women","true",""
"679","f","97","111279","","iat","Gentleman","men","men","men","women","true",""
"489","j","99","112021","","iat","Wife","women","women","men","women","true",""
"438","j","101","112714","","iat","Female","women","women","men","women","true",""
"366","j","103","113336","","iat","Wife","women","women","men","women","true",""
"582","f","105","114172","","iat","Uncle","men","men","men","women","true",""
"371","f","107","114798","","iat","Lady","women","women","men","women","false",""
"664","f","109","115718","","iat","Father","men","men","men","women","true",""
"587","j","111","116560","","iat","Grandma","women","women","men","women","true",""
"419","j","113","117233","","iat","Daughter","women","women","men","women","true",""
"578","f","115","118066","","iat","Husband","men","men","men","women","true",""
"584","j","117","118905","","iat","Aunt","women","women","men","women","true",""
"568","j","119","119727","","iat","Daughter","women","women","men","women","true",""
"576","f","121","120557","","iat","Man","men","men","men","women","true",""
"551","f","123","121363","","iat","Husband","men","men","men","women","true",""
"541","j","125","122159","","iat","Aunt","women","women","men","women","true",""
"721","j","127","123135","","iat","Woman","women","women","men","women","true",""
"599","j","129","123988","","iat","Girl","women","women","men","women","true",""
"579","f","131","124821","","iat","Boy","men","men","men","women","true",""
"1056","j","133","126132","","iat","Grandma","women","women","men","women","true",""
