"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"20665","{""Q0"":""1. the man is solving a complex equation\n2. the woman is painting a picture ""}","3","42322","stereotypical","prime","","","","","","",""
"1758","f","6","47557","","iat","Boy","men","men","men","women","true",""
"1352","j","8","49165","","iat","Mother","women","women","men","women","true",""
"387","j","10","49807","","iat","Wife","women","women","men","women","true",""
"1118","f","12","51178","","iat","Husband","men","men","men","women","true",""
"1110","j","14","52541","","iat","Sister","women","women","men","women","true",""
"933","f","16","53728","","iat","Uncle","men","men","men","women","true",""
"726","f","18","54707","","iat","Gentleman","men","men","men","women","true",""
"660","j","20","55622","","iat","Sister","women","women","men","women","true",""
"820","f","22","56698","","iat","Man","men","men","men","women","true",""
"878","j","24","57830","","iat","Female","women","women","men","women","true",""
"733","j","26","58817","","iat","Girl","women","women","men","women","true",""
"767","f","28","59839","","iat","Grandpa","men","men","men","women","true",""
"1109","j","30","61202","","iat","Woman","women","women","men","women","true",""
"910","f","32","62367","","iat","Brother","men","men","men","women","true",""
"865","j","34","63485","","iat","Wife","women","women","men","women","true",""
"924","f","36","64663","","iat","Son","men","men","men","women","true",""
"1005","f","38","65924","","iat","Grandpa","men","men","men","women","true",""
"2500","f","40","68678","","iat","Husband","men","men","men","women","true",""
"664","f","42","69595","","iat","Brother","men","men","men","women","true",""
"871","j","44","70721","","iat","Grandma","women","women","men","women","true",""
"883","f","46","71858","","iat","Father","men","men","men","women","true",""
"1727","j","48","73839","","iat","Woman","women","women","men","women","true",""
"751","f","50","74845","","iat","Gentleman","men","men","men","women","true",""
"1007","j","52","76106","","iat","Daughter","women","women","men","women","true",""
"1340","j","54","77700","","iat","Grandma","women","women","men","women","true",""
"865","f","56","78819","","iat","Male","men","men","men","women","true",""
"890","j","58","79964","","iat","Aunt","women","women","men","women","true",""
"600","f","60","80819","","iat","Male","men","men","men","women","true",""
"945","j","62","82018","","iat","Girl","women","women","men","women","true",""
"901","f","64","83172","","iat","Mother","women","women","men","women","false",""
"964","j","66","84391","","iat","Daughter","women","women","men","women","true",""
"731","f","68","85376","","iat","Father","men","men","men","women","true",""
"714","f","70","86345","","iat","Son","men","men","men","women","true",""
