"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"68151","{""Q0"":""1. All 4 individuals appear to be white.\n2. Only the men are doing STEM-related things (math, science), while the women are doing arts-related things (dancing, art).""}","3","82293","stereotypical","prime","","","","","","",""
"2336","j","6","99645","","iat","Grandma","women","women","men","women","true",""
"1754","j","8","101656","","iat","Woman","women","women","men","women","true",""
"1866","f","10","103776","","iat","Husband","men","men","men","women","true",""
"1813","f","12","105842","","iat","Grandpa","men","men","men","women","true",""
"2771","f","14","108867","","iat","Uncle","men","men","men","women","true",""
"2896","f","16","112019","","iat","Male","men","men","men","women","true",""
"1093","f","18","113369","","iat","Husband","men","men","men","women","true",""
"939","j","20","114564","","iat","Mother","women","women","men","women","true",""
"1165","f","22","115986","","iat","Male","men","men","men","women","true",""
"878","f","24","117121","","iat","Gentleman","men","men","men","women","true",""
"814","j","26","118191","","iat","Aunt","women","women","men","women","true",""
"832","j","28","119279","","iat","Mother","women","women","men","women","true",""
"839","f","30","120372","","iat","Boy","men","men","men","women","true",""
"778","j","32","121405","","iat","Lady","women","women","men","women","true",""
"723","j","34","122385","","iat","Sister","women","women","men","women","true",""
"644","j","36","123286","","iat","Female","women","women","men","women","true",""
"613","j","38","124155","","iat","Daughter","women","women","men","women","true",""
"868","j","40","125280","","iat","Lady","women","women","men","women","true",""
"1322","j","42","126859","","iat","Wife","women","women","men","women","true",""
"609","j","44","127726","","iat","Daughter","women","women","men","women","true",""
"664","j","46","128648","","iat","Aunt","women","women","men","women","true",""
"624","f","48","129529","","iat","Gentleman","men","men","men","women","true",""
"692","j","50","130477","","iat","Female","women","women","men","women","true",""
"1449","f","52","132182","","iat","Son","men","men","men","women","true",""
"595","f","54","133033","","iat","Brother","men","men","men","women","true",""
"474","f","56","133764","","iat","Brother","men","men","men","women","true",""
"544","j","58","134562","","iat","Girl","women","women","men","women","true",""
"1272","f","60","136090","","iat","Father","men","men","men","women","true",""
"688","j","62","137031","","iat","Grandma","women","women","men","women","true",""
"756","f","64","138041","","iat","Father","men","men","men","women","true",""
"764","f","66","139062","","iat","Man","men","men","men","women","true",""
"515","f","68","139833","","iat","Man","men","men","men","women","true",""
"1185","f","70","141274","","iat","Grandpa","men","men","men","women","true",""
"1248","j","72","142777","","iat","Sister","women","women","men","women","true",""
"665","j","74","143698","","iat","Son","men","men","men","women","false",""
"2744","j","76","146697","","iat","Woman","women","women","men","women","true",""
"1832","j","79","164802","","iat","Chemistry","science","science","liberal arts","science","true",""
"1370","f","81","166427","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"2700","j","83","169384","","iat","Astronomy","science","science","liberal arts","science","true",""
"775","j","85","170417","","iat","Statistics","science","science","liberal arts","science","true",""
"1365","f","87","172038","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"885","j","89","173180","","iat","Physics","science","science","liberal arts","science","true",""
"800","j","91","174235","","iat","Geology","science","science","liberal arts","science","true",""
"890","f","93","175382","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"999","j","95","176638","","iat","Astronomy","science","science","liberal arts","science","true",""
"685","j","97","177579","","iat","Math","science","science","liberal arts","science","true",""
"1059","j","99","178895","","iat","Chemistry","science","science","liberal arts","science","true",""
"1133","j","101","180281","","iat","Statistics","science","science","liberal arts","science","true",""
"889","f","103","181427","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"1706","j","105","183387","","iat","Math","science","science","liberal arts","science","true",""
"806","f","107","184449","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
