"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"37608","{""Q0"":""The feminine presenting persons are engaging in artistic activities. The masculine presenting persons are engaging in STEM-based activities.""}","3","74583","stereotypical","prime","","","","","","",""
"2237","f","6","87725","","iat","Wife","women","women","women","men","true",""
"1231","j","8","89216","","iat","Man","men","men","women","men","true",""
"913","f","10","90397","","iat","Female","women","women","women","men","true",""
"972","j","12","91629","","iat","Father","men","men","women","men","true",""
"1029","f","14","92920","","iat","Sister","women","women","women","men","true",""
"959","j","16","94140","","iat","Brother","men","men","women","men","true",""
"1136","f","18","95537","","iat","Girl","women","women","women","men","true",""
"1744","f","20","97540","","iat","Mother","women","women","women","men","true",""
"1130","j","22","98932","","iat","Brother","men","men","women","men","true",""
"958","j","24","100157","","iat","Uncle","men","men","women","men","true",""
"978","j","26","101400","","iat","Father","men","men","women","men","true",""
"632","f","28","102288","","iat","Daughter","women","women","women","men","true",""
"721","j","30","103274","","iat","Husband","men","men","women","men","true",""
"745","f","32","104287","","iat","Aunt","women","women","women","men","true",""
"758","j","34","105300","","iat","Male","men","men","women","men","true",""
"625","j","36","106192","","iat","Uncle","men","men","women","men","true",""
"738","f","38","107197","","iat","Mother","women","women","women","men","true",""
"861","j","40","108326","","iat","Boy","men","men","women","men","true",""
"601","f","42","109191","","iat","Sister","women","women","women","men","true",""
"476","f","44","109925","","iat","Grandma","women","women","women","men","true",""
"729","f","46","110915","","iat","Female","women","women","women","men","true",""
"846","f","48","112024","","iat","Woman","women","women","women","men","true",""
"959","j","50","113237","","iat","Grandpa","men","men","women","men","true",""
"699","f","52","114189","","iat","Woman","women","women","women","men","true",""
"2983","f","54","117435","","iat","Wife","women","women","women","men","true",""
"833","j","56","118536","","iat","Man","men","men","women","men","true",""
"774","f","58","119554","","iat","Aunt","women","women","women","men","true",""
"526","j","60","120339","","iat","Male","men","men","women","men","true",""
"934","j","62","121537","","iat","Gentleman","men","men","women","men","true",""
"605","f","64","122408","","iat","Lady","women","women","women","men","true",""
"895","j","66","123561","","iat","Husband","men","men","women","men","true",""
"478","f","68","124296","","iat","Girl","women","women","women","men","true",""
"855","j","70","125412","","iat","Son","men","men","women","men","true",""
"713","f","72","126389","","iat","Grandma","women","women","women","men","true",""
"924","j","74","127572","","iat","Son","men","men","women","men","true",""
"1712","j","76","129541","","iat","Boy","men","men","women","men","true",""
"2574","j","79","141238","","iat","Sociology","liberal arts","liberal arts","science","liberal arts","true",""
"1103","j","81","142601","","iat","Sociology","liberal arts","liberal arts","science","liberal arts","true",""
"1018","f","83","143882","","iat","Physics","science","science","science","liberal arts","true",""
"1005","j","85","145145","","iat","History","liberal arts","liberal arts","science","liberal arts","true",""
"866","f","87","146272","","iat","Physics","science","science","science","liberal arts","true",""
"957","f","89","147483","","iat","Biology","science","science","science","liberal arts","true",""
"1006","f","91","148741","","iat","Statistics","science","science","science","liberal arts","true",""
"1074","j","93","150082","","iat","Humanities","liberal arts","liberal arts","science","liberal arts","true",""
"1933","f","95","152272","","iat","Statistics","science","science","science","liberal arts","true",""
"852","j","97","153382","","iat","English","liberal arts","liberal arts","science","liberal arts","true",""
"961","j","99","154597","","iat","Humanities","liberal arts","liberal arts","science","liberal arts","true",""
"560","j","101","155418","","iat","Philosophy","liberal arts","liberal arts","science","liberal arts","true",""
"814","f","103","156498","","iat","Ecology","science","science","science","liberal arts","true",""
"2125","f","105","158885","","iat","Biology","science","science","science","liberal arts","true",""
"506","j","107","159645","","iat","English","liberal arts","liberal arts","science","liberal arts","true",""
"619","f","109","160531","","iat","Geology","science","science","science","liberal arts","true",""
"504","j","111","161299","","iat","Literature","liberal arts","liberal arts","science","liberal arts","true",""
"558","f","113","162118","","iat","Chemistry","science","science","science","liberal arts","true",""
"1494","f","115","163865","","iat","Math","science","science","science","liberal arts","true",""
"721","f","117","164850","","iat","Engineering","science","science","science","liberal arts","true",""
"543","f","119","165660","","iat","Engineering","science","science","science","liberal arts","true",""
"685","j","121","166601","","iat","Philosophy","liberal arts","liberal arts","science","liberal arts","true",""
"466","j","123","167323","","iat","Dance","liberal arts","liberal arts","science","liberal arts","true",""
"1116","j","125","168704","","iat","Anthropology","liberal arts","liberal arts","science","liberal arts","true",""
"988","f","127","169960","","iat","Astronomy","science","science","science","liberal arts","true",""
"1346","j","129","171565","","iat","History","liberal arts","liberal arts","science","liberal arts","true",""
"532","j","131","172365","","iat","Literature","liberal arts","liberal arts","science","liberal arts","true",""
"1347","f","133","173970","","iat","Robotics","science","science","science","liberal arts","true",""
"873","f","135","175102","","iat","Geology","science","science","science","liberal arts","true",""
"530","f","137","175890","","iat","Robotics","science","science","science","liberal arts","true",""
"558","j","139","176705","","iat","Arts","liberal arts","liberal arts","science","liberal arts","true",""
"746","f","141","177709","","iat","Astronomy","science","science","science","liberal arts","true",""
"558","f","143","178529","","iat","Chemistry","science","science","science","liberal arts","true",""
"558","j","145","179354","","iat","Music","liberal arts","liberal arts","science","liberal arts","true",""
"1130","j","147","180752","","iat","Arts","liberal arts","liberal arts","science","liberal arts","true",""
"483","j","149","181498","","iat","Music","liberal arts","liberal arts","science","liberal arts","true",""
"2154","j","152","189631","","iat","Daughter","women","liberal arts or women","science or men","liberal arts or women","true",""
"1192","j","154","191075","","iat","Woman","women","liberal arts or women","science or men","liberal arts or women","true",""
"1518","j","156","192854","","iat","Philosophy","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"761","j","158","193881","","iat","Female","women","liberal arts or women","science or men","liberal arts or women","true",""
"873","f","160","195007","","iat","Robotics","science","science or men","science or men","liberal arts or women","true",""
"1969","j","162","197232","","iat","Lady","women","liberal arts or women","science or men","liberal arts or women","true",""
"1705","f","164","199207","","iat","Physics","science","science or men","science or men","liberal arts or women","true",""
"553","f","166","200027","","iat","Man","men","science or men","science or men","liberal arts or women","true",""
"852","j","168","201142","","iat","Sister","women","liberal arts or women","science or men","liberal arts or women","true",""
"1878","j","170","203273","","iat","History","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"662","j","172","204196","","iat","Humanities","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"511","j","174","204971","","iat","Arts","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1362","f","176","206588","","iat","Geology","science","science or men","science or men","liberal arts or women","true",""
"1478","j","178","208329","","iat","Music","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1638","f","180","210220","","iat","Boy","men","science or men","science or men","liberal arts or women","true",""
"710","j","182","211192","","iat","Grandma","women","liberal arts or women","science or men","liberal arts or women","true",""
"845","j","184","212289","","iat","Aunt","women","liberal arts or women","science or men","liberal arts or women","true",""
"1324","f","186","213869","","iat","Son","men","science or men","science or men","liberal arts or women","true",""
