"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"40444","{""Q0"":""The people on the left are doing science. The people on the right are doing art.""}","3","160352","stereotypical","prime","","","","","","",""
"1836","j","6","181181","","iat","Chemistry","science","science","liberal arts","science","true",""
"1786","f","8","183222","","iat","Music","liberal arts","liberal arts","liberal arts","science","true",""
"1745","j","10","185221","","iat","Physics","science","science","liberal arts","science","true",""
"1224","j","12","186699","","iat","Ecology","science","science","liberal arts","science","true",""
"1592","j","14","188545","","iat","Math","science","science","liberal arts","science","true",""
"1739","j","16","190538","","iat","Astronomy","science","science","liberal arts","science","true",""
"2032","j","18","192824","","iat","Statistics","science","science","liberal arts","science","true",""
"1431","f","20","194508","","iat","Literature","liberal arts","liberal arts","liberal arts","science","true",""
"1738","j","22","196503","","iat","Geology","science","science","liberal arts","science","true",""
"1750","j","24","198508","","iat","Chemistry","science","science","liberal arts","science","true",""
"1611","f","26","200373","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"1517","f","28","202144","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"1533","f","30","203932","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"2022","f","32","206208","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"1619","f","34","208081","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"2271","f","36","210603","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"1249","f","38","212106","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"732","j","40","213091","","iat","Physics","science","science","liberal arts","science","true",""
"1170","f","42","214515","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"919","j","44","215689","","iat","Engineering","science","science","liberal arts","science","true",""
"2089","f","46","218032","","iat","Astronomy","science","science","liberal arts","science","false",""
"2635","j","48","220922","","iat","Biology","science","science","liberal arts","science","true",""
"1087","j","50","222263","","iat","Biology","science","science","liberal arts","science","true",""
"832","f","52","223349","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
"1230","j","54","224833","","iat","Robotics","science","science","liberal arts","science","true",""
"1047","j","56","226133","","iat","Math","science","science","liberal arts","science","true",""
"1448","j","58","227833","","iat","Robotics","science","science","liberal arts","science","true",""
"1213","f","60","229300","","iat","Music","liberal arts","liberal arts","liberal arts","science","true",""
"1433","f","62","230988","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"1184","f","64","232426","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"1447","f","66","234127","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"1113","f","68","235494","","iat","Dance","liberal arts","liberal arts","liberal arts","science","true",""
"1368","f","70","237116","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"1199","f","72","238569","","iat","Literature","liberal arts","liberal arts","liberal arts","science","true",""
